IDMunicipio,NomeMunicipio,SiglaUF
2932,Caruaru,PE
929,Carutapera,MA
3389,Carvalhos,MG
3710,Casa Grande,MG
1078,Casa Nova,BA
1577,Casca,RS
246,Cascavel,PR
858,Caseara,TO
105,Casimiro de Abreu,RJ
2946,Casinhas,PE
2810,Casserengue,PB
722,Castanhal,PA
1952,Castanheira,MT
634,Castanheiras,RO
64,Castelo,ES
2252,Castelo do Piau?,PI
3852,Castilho,SP
230,Castro,PR
1233,Castro Alves,BA
2181,Catal?o,GO
247,Catanduvas,PR
2503,Catarina,CE
3008,Catende,PE
2704,Catol? do Rocha,PB
1061,Catol?ndia,BA
1226,Catu,BA
3615,Catuji,MG
2442,Catunda,CE
1258,Caturama,BA
2792,Caturit?,PB
3463,Catuti,MG
1578,Catu?pe,RS
2479,Caucaia,CE
2088,Cavalcante,GO
489,Caxambu do Sul,SC
1024,Caxias,MA
1541,Caxias do Sul,RS
2222,Caxing?,PI
532,Ca?ador,SC
1442,Ca?apava,SP
1506,Ca?apava do Sul,RS
1129,Ca?m,BA
2184,Ca?u,GO
2684,Cear?-Mirim,RN
879,Cedral,MA
2534,Cedro,CE
3158,Cedro de S?o Jo?o,SE
602,Celso Ramos,SC
1521,Centen?rio,RS
1115,Central,BA
885,Central do Maranh?o,MA
933,Centro do Guilherme,MA
930,Centro Novo do Maranh?o,MA
638,Cerejeiras,RO
2191,Ceres,GO
3764,Cerqueira C?sar,SP
1743,Cerrito,RS
334,Cerro Azul,PR
1579,Cerro Branco,RS
2628,Cerro Cor?,RN
1580,Cerro Grande,RS
1581,Cerro Grande do Sul,RS
1583,Cerro Largo,RS
458,Cerro Negro,SC
3864,Ces?rio Lange,SP
2161,Cezarina,GO
3404,Chal?,MG
1586,Chapada,RS
3246,Chapada do Norte,MG
2023,Chapada dos Guimar?es,MT
3378,Chapada Ga?cha,MG
1015,Chapadinha,MA
585,Chapad?o do Lageado,SC
1936,Chapad?o do Sul,MS
486,Chapec?,SC
1608,Charqueadas,RS
1833,Charrua,RS
2403,Chaval,CE
3397,Chiador,MG
1587,Chiapetta,RS
283,Chopinzinho,PR
2474,Chorozinho,CE
1086,Chorroch?,BA
2497,Chor?,CE
641,Chupinguaia,RO
1559,Chuvisca,RS
2998,Ch? de Alegria,PE
2999,Ch? Grande,PE
3081,Ch? Preta,AL
2140,Cidade Ocidental,GO
956,Cidel?ndia,MA
1191,Cip?,BA
1589,Cir?aco,RS
3573,Claraval,MG
3451,Claro dos Po??es,MG
308,Clevel?ndia,PR
1981,Cl?udia,MT
3273,Cl?udio,MG
2223,Cocal,PI
2249,Cocal de Telha,PI
411,Cocal do Sul,SC
2224,Cocal dos Alves,PI
